,genre1,genre2,style1,style2,style3,style4,style5,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10
manfred mann,Pop/Rock,,British Invasion,Contemporary Pop/Rock,Prog-Rock,AM Pop,Rock & Roll,Celebratory,Romantic,Amiable/Good-Natured,Happy,Rollicking,Rousing,Confident,Innocent,Playful,Summery
manfred manns earth band,Pop/Rock,,Art Rock,Prog-Rock,Contemporary Pop/Rock,,,Explosive,Lively,Strong,Agreeable,Marching,Positive,Dramatic,Dreamy,Flowing,Mighty
marc anthony,Latin,Electronic,Latin Dance,Latin Pop,Salsa,Club/Dance,Tropical,Carefree,Celebratory,Theatrical,Gentle,Passionate,Playful,Reflective,Sensual,Romantic,Earnest
marcy playground,Pop/Rock,,Post-Grunge,Alternative Pop/Rock,Alternative/Indie Rock,,,Self-Conscious,Tense/Anxious,Earnest,Fractured,Searching,Angst-Ridden,Bittersweet,Brittle,Brooding,Cynical/Sarcastic
maria muldaur,Pop/Rock,Blues,Contemporary Pop/Rock,Folk-Blues,Folk-Rock,Psychedelic/Garage,Singer/Songwriter,Confident,Earnest,Earthy,Freewheeling,Gutsy,Sophisticated,Literate,Reflective,Summery,Sexy
mariah carey,R&B,,Adult Contemporary,Adult Contemporary R&B,Dance-Pop,Pop,,Celebratory,Confident,Sensual,Sexy,Carefree,Exuberant,Playful,Refined,Stylish,Amiable/Good-Natured
mariah carey and boyz ii men,R&B,,Adult Contemporary R&B,Contemporary R&B,New Jack Swing,,,Poignant,Reflective,Romantic,Soft/Quiet,Dramatic,Sensual,Sexy,Soothing,Stylish,Intimate
marilyn mccoo  billy davis jr,Pop/Rock,,,,,,,,,,,,,,,,
mario,R&B,,Contemporary R&B,Pop,,,,Intimate,Stylish,Romantic,Sensual,Bright,Gentle,Laid-Back/Mellow,Passionate,Sexual,Soothing
mario winans,R&B,,Contemporary R&B,,,,,Stylish,Elegant,Intimate,Refined,Romantic,Sexy,Soothing,Sweet,Earnest,Light
mark chesnutt,Country,,Contemporary Country,New Traditionalist,Honky Tonk,,,Reflective,Yearning,Brooding,Melancholy,Bittersweet,Plaintive,Earnest,Poignant,Sentimental,
mark lindsay,Pop/Rock,,AM Pop,Contemporary Pop/Rock,,,,Amiable/Good-Natured,Cheerful,Dramatic,Fun,Naive,Refined,Sentimental,Stylish,,
mark morrison,R&B,,Contemporary R&B,Dance-Pop,Club/Dance,,,Smooth,Stylish,Freewheeling,Refined,Slick,Carefree,Exuberant,Playful,Street-Smart,Brash
mark ronson,Pop/Rock,,Club/Dance,Alternative/Indie Rock,Pop,Pop-Rap,Party Rap,Confident,Freewheeling,Rousing,Boisterous,Celebratory,Energetic,Exuberant,Fun,Passionate,Happy
mark wills,Country,,Contemporary Country,,,,,Amiable/Good-Natured,Gentle,Laid-Back/Mellow,Bittersweet,Sentimental,,,,,
marky mark and the funky bunch,Rap,Electronic,Party Rap,Pop-Rap,Club/Dance,,,Aggressive,Bravado,Bright,Celebratory,Freewheeling,Fun,Lively,Playful,Sexual,Sexy
marmalade,Pop/Rock,,British Invasion,British Psychedelia,Contemporary Pop/Rock,Psychedelic/Garage,Bubblegum,Innocent,Sophisticated,Stylish,Amiable/Good-Natured,Gentle,Restrained,Wistful,Earnest,Ethereal,Lush
maroon 5,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Pop,,Celebratory,Slick,Playful,Sensual,Swaggering,Yearning,Amiable/Good-Natured,Bittersweet,Bright,Earnest
martha and the vandellas,R&B,Pop/Rock,Girl Groups,Motown,Soul,Pop-Soul,AM Pop,Celebratory,Cheerful,Energetic,Exuberant,Lively,Bright,Carefree,Playful,Rousing,Strong
martika,Pop/Rock,R&B,Dance-Pop,Teen Pop,Bubblegum,Urban,Adult Contemporary,Soothing,Theatrical,,,,,,,,
martin garrix,Electronic,,Club/Dance,EDM,House,Progressive House,,Animated,Amiable/Good-Natured,Carefree,Agreeable,Bright,Effervescent,Energetic,Exciting,Explosive,Flashy
martin page,Pop/Rock,Classical,Chamber Music,Symphony,Vocal Music,,,,,,,,,,,,
marty balin,Pop/Rock,,Album Rock,Soft Rock,,,,Earnest,Laid-Back/Mellow,Reflective,Sentimental,,,,,,
marvin gaye,R&B,,Motown,Soul,Smooth Soul,Quiet Storm,Funk,Earnest,Elegant,Intimate,Passionate,Plaintive,Poignant,Reflective,Romantic,Smooth,Warm
marvin gaye  tammi terrell,R&B,,Motown,Soul,Smooth Soul,Quiet Storm,Funk,Earnest,Elegant,Intimate,Passionate,Plaintive,Poignant,Reflective,Romantic,Smooth,Warm
marvin hamlisch,Stage & Screen,Easy Listening,Cast Recordings,Film Music,Instrumental Pop,Musical Theater,Original Score,Amiable/Good-Natured,Dramatic,Fun,Happy,Nostalgic,Rousing,Sentimental,Whimsical,Melancholy,Plaintive
mary hopkin,Pop/Rock,Vocal,AM Pop,Folk-Rock,Traditional Pop,,,Delicate,Elegant,Elegiac,Ethereal,Gentle,Intimate,Introspective,Laid-Back/Mellow,Meditative,Melancholy
mary j blige,R&B,,Contemporary R&B,Adult Contemporary R&B,New Jack Swing,,,Bravado,Confident,Confrontational,Smooth,Ambitious,Brash,Celebratory,Elegant,Energetic,Sensual
mary jane girls,R&B,Pop/Rock,Urban,Funk,Quiet Storm,Dance-Pop,,Celebratory,Rousing,Sexy,Sweet,Bright,Confident,Energetic,Exuberant,Passionate,Playful
mary macgregor,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,,,,,,,,,,,,,
mary mary,Religious,,Contemporary Gospel,Adult Contemporary R&B,Contemporary R&B,,,Joyous,Optimistic,Uplifting,Effervescent,Amiable/Good-Natured,Calm/Peaceful,Earnest,Gentle,Lively,Lush
mase,Rap,,East Coast Rap,Pop-Rap,,,,Confident,Joyous,Witty,Amiable/Good-Natured,Celebratory,Lazy,Boisterous,Brash,Energetic,Freewheeling
mason williams,Easy Listening,Classical,Instrumental Pop,Classical Pop,AM Pop,Baroque Pop,Classical Crossover,Elaborate,Playful,Smooth,Soothing,Dreamy,Sophisticated,Freewheeling,Reserved,Theatrical,Campy
master p,Rap,,Gangsta Rap,Southern Rap,Dirty South,Hardcore Rap,,Brash,Sleazy,Tough,Aggressive,Celebratory,Druggy,Rebellious,Street-Smart,Ambitious,Bravado
matchbox twenty,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,American Trad Rock,Post-Grunge,Contemporary Pop/Rock,Earnest,Theatrical,Earthy,Exuberant,Playful,Refined,Sentimental,Slick,Soothing,Sweet
matthew wilder,Pop/Rock,Classical,Contemporary Pop/Rock,New Wave,Punk/New Wave,Vocal Music,Film Score,Amiable/Good-Natured,Carefree,Whimsical,Cheerful,Exuberant,Fun,Playful,Joyous,Silly,
matthews southern comfort,Folk,Pop/Rock,British Folk,British Folk-Rock,Singer/Songwriter,Country-Folk,Country-Rock,Amiable/Good-Natured,Earnest,Intimate,Literate,Melancholy,Autumnal,Bittersweet,Calm/Peaceful,Earthy,Gentle
maureen mcgovern,Vocal,,Standards,Traditional Pop,,,,,,,,,,,,,
maxi priest,Reggae,,Contemporary Reggae,Dancehall,Reggae-Pop,Smooth Reggae,Lovers Rock,Intimate,Romantic,Wistful,Yearning,Effervescent,Hypnotic,Slick,Smooth,Sophisticated,Stylish
maxine nightingale,R&B,,Disco,Soul,Contemporary Pop/Rock,,,Bright,Giddy,Lively,Slick,Stylish,Energetic,Relaxed,Rollicking,Shimmering,Exciting
maxwell,R&B,,Neo-Soul,Contemporary R&B,Adult Contemporary R&B,,,Carefree,Confident,Romantic,Sexy,Stylish,Celebratory,Intimate,Playful,Relaxed,Sensual
mc hammer,Rap,,Pop-Rap,Party Rap,,,,Amiable/Good-Natured,Celebratory,Energetic,Aggressive,Boisterous,Brash,Carefree,Confident,Fun,Playful
mc lyte,Rap,,East Coast Rap,Golden Age,Pop-Rap,,,Confrontational,Swaggering,Boisterous,Brash,Carefree,Confident,Fun,Irreverent,Playful,Bright
mcfadden  whitehead,R&B,,Philly Soul,Smooth Soul,Soul,Disco,,Bright,Cheerful,Elegant,Uplifting,Warm,Yearning,Amiable/Good-Natured,Laid-Back/Mellow,Lively,Positive
meat loaf,Pop/Rock,,Album Rock,Contemporary Pop/Rock,Hard Rock,Arena Rock,,Bravado,Confident,Dramatic,Freewheeling,Intense,Sprawling,Theatrical,Brassy,Epic,Quirky
meco,Easy Listening,R&B,Disco,Contemporary Pop/Rock,Dance-Pop,,,,,,,,,,,,
meek mill,Rap,,Hardcore Rap,,,,,Bombastic,Brash,Declamatory,Exuberant,Street-Smart,Tense/Anxious,Thrilling,Urgent,Extroverted,Fiery
meghan trainor,Pop/Rock,,Pop,Dance-Pop,Contemporary Pop/Rock,,,Confident,Fun,Amiable/Good-Natured,Cheerful,Agreeable,Bright,Exuberant,Lively,Optimistic,Playful
mel and tim,R&B,Pop/Rock,Chicago Soul,Soul,Pop-Soul,AM Pop,Disco,Cheerful,Earnest,Intimate,Soothing,Amiable/Good-Natured,Laid-Back/Mellow,,,,
mel carter,R&B,,Soul,,,,,Romantic,Striding,Agreeable,Dreamy,Positive,Sentimental,Strong,Sweet,,
melanie,Pop/Rock,Folk,AM Pop,Folk-Pop,Folk-Rock,Singer/Songwriter,Contemporary Pop/Rock,Earnest,Gentle,Intimate,Organic,Amiable/Good-Natured,Bittersweet,Literate,Melancholy,Sentimental,Wistful
melissa etheridge,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,Blues-Rock,Heartland Rock,Rock & Roll,Earnest,Earthy,Literate,Autumnal,Bittersweet,Reflective,Amiable/Good-Natured,Brooding,Detached,Gritty
melissa manchester,Pop/Rock,,Adult Contemporary,Soft Rock,Contemporary Pop/Rock,AM Pop,,Reflective,Sentimental,Dramatic,Poignant,Romantic,Theatrical,Gentle,Melancholy,Soothing,Earnest
mellow man ace,Rap,,Golden Age,Latin Rap,House,,,Celebratory,Silly,,,,,,,,
men at work,Pop/Rock,,Contemporary Pop/Rock,New Wave,Punk/New Wave,,,Amiable/Good-Natured,Fun,Witty,Wry,Campy,Cerebral,Cheerful,Confident,Earnest,Elegant
men without hats,Pop/Rock,,New Wave,Punk/New Wave,Synth Pop,Dance-Rock,Contemporary Pop/Rock,Amiable/Good-Natured,Austere,Carefree,Dramatic,Dreamy,Earnest,Fun,Giddy,Playful,Quirky
mercy,Pop/Rock,,Pop,Contemporary Singer/Songwriter,Dance-Pop,Teen Pop,,Carefree,Relaxed,Restrained,Smooth,Amiable/Good-Natured,Bright,Confident,Earnest,Passionate,Playful
meredith brooks,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Contemporary Singer/Songwriter,Contemporary Pop/Rock,Carefree,Confident,Freewheeling,Happy,Laid-Back/Mellow,Melancholy,Plaintive,Romantic,Sexual,Sexy
merril bainbridge,Pop/Rock,,Adult Contemporary,Adult Alternative Pop/Rock,Alternative/Indie Rock,,,Amiable/Good-Natured,Gleeful,Intimate,Carefree,Playful,Confident,Reflective,Innocent,Sweet,Bittersweet
merrilee rush,Pop/Rock,,Sunshine Pop,AM Pop,Soft Rock,,,Laid-Back/Mellow,Light,Lush,Relaxed,Smooth,Soft/Quiet,Soothing,Sweet,Warm,Amiable/Good-Natured
metallica,Pop/Rock,,Heavy Metal,Speed/Thrash Metal,Hard Rock,,,Aggressive,Angry,Bitter,Fierce,Menacing,Suffocating,Crunchy,Epic,Fiery,Gritty
method man,Rap,,East Coast Rap,Hardcore Rap,,,,Aggressive,Celebratory,Confident,Energetic,Enigmatic,Fantastic/Fantasy-like,Gloomy,Hedonistic,Humorous,Nihilistic
metro station,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Dance-Rock,Emo,,Romantic,Celebratory,Energetic,Happy,Lively,Sparkling,Stylish,Amiable/Good-Natured,Cheerful,Self-Conscious
mfsb,R&B,,Philly Soul,R&B Instrumental,Smooth Soul,Soul,,Amiable/Good-Natured,Celebratory,Cheerful,Elegant,Joyous,Refined,Rousing,Sentimental,,
mia,Electronic,Pop/Rock,Alternative Dance,Alternative/Indie Rock,Club/Dance,Alternative Rap,,Aggressive,Brash,Confident,Exuberant,Manic,Swaggering,Boisterous,Celebratory,Dramatic,Rambunctious
miami sound machine,Pop/Rock,,Latin Pop,Pop,Club/Dance,Adult Contemporary,Dance-Pop,Carefree,Celebratory,Cheerful,Exuberant,Joyous,Rousing,Sensual,Sexy,,
michael bolton,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,,,,Romantic,Sensual,Sentimental,Theatrical,Amiable/Good-Natured,Earnest,Passionate,Bittersweet,Confident,Dramatic
michael buble,Vocal,Jazz,Adult Contemporary,Vocal Jazz,Standards,Vocal Pop,,Carefree,Elegant,Gentle,Amiable/Good-Natured,Confident,Dramatic,Lush,Romantic,Smooth,Stylish
michael damian,Pop/Rock,,Adult Contemporary,,,,,Romantic,Soothing,Theatrical,,,,,,,
michael franti  spearhead,Pop/Rock,,Contemporary Reggae,Alternative Rap,Alternative/Indie Rock,,,Optimistic,Poignant,Rousing,Summery,Uplifting,Amiable/Good-Natured,Bright,Celebratory,Confident,Earnest
michael jackson,R&B,,Contemporary R&B,Motown,Pop,Soul,New Jack Swing,Amiable/Good-Natured,Confident,Energetic,Exciting,Lively,Romantic,Rousing,Sparkling,Stylish,Carefree
michael jackson and janet jackson,R&B,,Contemporary R&B,Motown,Pop,Soul,New Jack Swing,Amiable/Good-Natured,Confident,Energetic,Exciting,Lively,Romantic,Rousing,Sparkling,Stylish,Carefree
michael jackson and justin timberlake,R&B,,Contemporary R&B,Motown,Pop,Soul,New Jack Swing,Amiable/Good-Natured,Confident,Energetic,Exciting,Lively,Romantic,Rousing,Sparkling,Stylish,Carefree
michael jackson and paul mccartney,R&B,,Contemporary R&B,Motown,Pop,Soul,New Jack Swing,Amiable/Good-Natured,Confident,Energetic,Exciting,Lively,Romantic,Rousing,Sparkling,Stylish,Carefree
michael jackson with siedah garrett,R&B,,Contemporary R&B,Motown,Pop,Soul,New Jack Swing,Amiable/Good-Natured,Confident,Energetic,Exciting,Lively,Romantic,Rousing,Sparkling,Stylish,Carefree
michael johnson,Pop/Rock,Rap,Soft Rock,Adult Contemporary,Contemporary Pop/Rock,Singer/Songwriter,Contemporary Country,Laid-Back/Mellow,Soothing,Calm/Peaceful,Sentimental,Earnest,Intimate,Reflective,Wistful,,
michael martin murphey,Country,Pop/Rock,Contemporary Country,Country-Rock,Cowboy,Neo-Traditionalist Country,Progressive Country,Poignant,Amiable/Good-Natured,Earnest,Earthy,Intimate,Laid-Back/Mellow,Reflective,Gentle,,
michael mcdonald,Pop/Rock,,Adult Contemporary,Soft Rock,Contemporary Pop/Rock,Blue-Eyed Soul,,Laid-Back/Mellow,Smooth,Soothing,Amiable/Good-Natured,Romantic,Sentimental,Gentle,Poignant,Reserved,
michael murphey,Country,Pop/Rock,Contemporary Country,Country-Rock,Cowboy,Neo-Traditionalist Country,Progressive Country,Poignant,Amiable/Good-Natured,Earnest,Earthy,Intimate,Laid-Back/Mellow,Reflective,Gentle,,
michael sembello,Pop/Rock,Classical,Contemporary Pop/Rock,Dance-Pop,Soft Rock,Vocal Music,,,,,,,,,,,
michael w smith,Religious,Pop/Rock,CCM,Contemporary Christian,Gospel,Adult Contemporary,Christian Rock,Earnest,Amiable/Good-Natured,Devotional,Cheerful,Poignant,Slick,Spiritual,Innocent,Reflective,Rousing
michelle,Pop/Rock,Vocal,British Invasion,Vocal Pop,,,,Bittersweet,Dramatic,Romantic,Yearning,Amiable/Good-Natured,Elaborate,Energetic,Innocent,Light,Lively
michelle branch,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Contemporary Pop/Rock,,Passionate,Rousing,Earnest,Energetic,Reflective,Searching,Sentimental,Ambitious,Bittersweet,Confident
mickey gilley,Country,,Country-Pop,Honky Tonk,Traditional Country,Urban Cowboy,,Amiable/Good-Natured,Earthy,Rollicking,Rowdy,Sentimental,Bittersweet,Carefree,Earnest,Laid-Back/Mellow,Organic
miguel,R&B,,Contemporary R&B,Pop,,,,Ambitious,Atmospheric,Bright,Confident,Dramatic,Dreamy,Elegant,Freewheeling,Indulgent,Light
mike  the mechanics,Pop/Rock,,Contemporary Pop/Rock,Adult Contemporary,,,,Dramatic,Passionate,Sentimental,Thoughtful,Earnest,Exuberant,Intense,Joyous,Lively,Plaintive
mike jones,Rap,Jazz,Southern Rap,Hardcore Rap,Jazz Instrument,Piano Jazz,,Aggressive,Celebratory,Reckless,Street-Smart,Brash,Confident,Freewheeling,Rambunctious,Rousing,Tough
mike oldfield,New Age,,Art Rock,Prog-Rock,Progressive Electronic,Classical Crossover,Neo-Classical,Ambitious,Elaborate,Sophisticated,Clinical,Smooth,Complex,Detached,Calm/Peaceful,Earnest,Gloomy
mike posner,Pop/Rock,Rap,Pop,Club/Dance,Pop-Rap,Alternative Rap,,Freewheeling,Rousing,Boisterous,Confident,Lively,Whimsical,Amiable/Good-Natured,Bravado,Bright,Energetic
mike post,Stage & Screen,Classical,Soundtracks,TV Music,TV Soundtracks,Film Music,Film Score,Dramatic,Elegant,Sentimental,Gentle,Intense,Refined,Romantic,Smooth,Stylish,Amiable/Good-Natured
mike will madeit,Rap,,Contemporary R&B,,,,,Celebratory,Slick,Street-Smart,Aggressive,Brash,Bravado,Bright,Energetic,Exciting,Stylish
miley cyrus,Pop/Rock,,Pop,Teen Pop,Dance-Pop,,,Amiable/Good-Natured,Bright,Carefree,Celebratory,Cheerful,Fun,Gleeful,Happy,Rousing,Innocent
milli vanilli,Pop/Rock,Electronic,Dance-Pop,Club/Dance,Euro-Dance,,,Carefree,Celebratory,Cheerful,,,,,,,
mims,Rap,,Pop-Rap,Hardcore Rap,,,,Confident,Bravado,Nocturnal,Boisterous,Carefree,Gleeful,Playful,Rousing,Snide,Street-Smart
minnie riperton,R&B,,Chicago Soul,Quiet Storm,Smooth Soul,Soul,Uptown Soul,Earnest,Gentle,Intimate,Precious,Sensual,Soothing,Warm,Laid-Back/Mellow,Light,Passionate
mint condition,R&B,,Contemporary R&B,New Jack Swing,Adult Contemporary R&B,,,Atmospheric,Bittersweet,Calm/Peaceful,Celebratory,Dramatic,Dreamy,Elegant,Gentle,Intimate,Laid-Back/Mellow
miranda lambert,Country,,Contemporary Country,Country-Pop,,,,Boisterous,Lively,Street-Smart,Bravado,Cheerful,Rousing,Stylish,Amiable/Good-Natured,Celebratory,Confident
miranda lambert and carrie underwood,Country,,Contemporary Country,Country-Pop,,,,Boisterous,Lively,Street-Smart,Bravado,Cheerful,Rousing,Stylish,Amiable/Good-Natured,Celebratory,Confident
missy elliott,R&B,Rap,Pop-Rap,Contemporary R&B,Pop,,,Aggressive,Brash,Confident,Sensual,Ambitious,Brassy,Celebratory,Clinical,Freewheeling,Hedonistic
mitch ryder  the detroit wheels,Pop/Rock,,Detroit Rock,Frat Rock,Rock & Roll,Hard Rock,Album Rock,Bravado,Confident,Exciting,Rousing,Boisterous,Energetic,Exuberant,Freewheeling,Joyous,Rollicking
mkto,Pop/Rock,,Teen Pop,Pop,Pop-Rap,,,Bravado,Freewheeling,Fun,Lively,Passionate,Rollicking,Rowdy,Satirical,Slick,
mo thugs,Rap,,,,,,,,,,,,,,,,
moby,Electronic,,Club/Dance,Techno,Electronica,Alternative Pop/Rock,Ambient Techno,Hypnotic,Plaintive,Rousing,Aggressive,Clinical,Detached,Nocturnal,Stately,Wistful,Atmospheric
mocedades,Latin,Pop/Rock,Latin Pop,Soft Rock,Rock en Español,,,Dramatic,Earnest,Elegant,Refined,Theatrical,Sophisticated,Amiable/Good-Natured,Gentle,Passionate,Reflective
mokenstef,R&B,,Contemporary R&B,,,,,Agreeable,Calm/Peaceful,Fun,Intimate,Nostalgic,Optimistic,Sensual,Sentimental,Shimmering,Slick
monica,R&B,,Contemporary R&B,Adult Contemporary R&B,,,,Celebratory,Elegant,Sensual,Sentimental,Stylish,Theatrical,Boisterous,Confident,Energetic,Exuberant
monifah,R&B,,Urban,,,,,Carefree,Celebratory,Confident,Playful,Sensual,Sexy,Stylish,Sweet,,
montell jordan,R&B,,Contemporary R&B,,,,,Confident,Energetic,Exuberant,Gentle,Intimate,Playful,Slick,Swaggering,Yearning,Boisterous
moody blues,Pop/Rock,,Album Rock,Art Rock,Contemporary Pop/Rock,Prog-Rock,British Invasion,Dramatic,Earnest,Epic,Poignant,Autumnal,Bittersweet,Cerebral,Dreamy,Elaborate,Elegant
morris albert,Vocal,Latin,Latin Pop,Vocal Music,,,,Autumnal,Introspective,Passionate,Romantic,Agreeable,Earnest,Intimate,Laid-Back/Mellow,Melancholy,Plaintive
motherlode,R&B,,Early R&B,Funk,Soul,Blaxploitation,Soundtracks,Boisterous,Celebratory,Earthy,Energetic,Fiery,Intense,Organic,Passionate,Rousing,Brash
mountain,Pop/Rock,,Album Rock,Hard Rock,Contemporary Pop/Rock,,,Aggressive,Raucous,Rousing,Rowdy,Energetic,Fiery,Rebellious,Boisterous,Confident,Earthy
mouth  macneal,Pop/Rock,,Adult Contemporary,AM Pop,Contemporary Pop/Rock,Soft Rock,,Amiable/Good-Natured,Refined,Romantic,Carefree,Reserved,Slick,Soft/Quiet,Innocent,Intimate,Relaxed
moving pictures,Pop/Rock,,Album Rock,Hard Rock,Prog-Rock,Arena Rock,,Ambitious,Complex,Dramatic,Elaborate,Epic,Lively,Confident,Energetic,Sprawling,Atmospheric
mr big,Pop/Rock,,Hair Metal,Hard Rock,Heavy Metal,Pop-Metal,Guitar Virtuoso,Aggressive,Confident,Raucous,Rousing,Brash,Energetic,Rowdy,Manic,Outrageous,Rambunctious
mr cheeks,Rap,,East Coast Rap,,,,,Amiable/Good-Natured,Brash,Confident,Literate,Street-Smart,Gritty,Smooth,,,
mr mister,Pop/Rock,,Adult Contemporary,Album Rock,Contemporary Pop/Rock,,,Dramatic,Playful,Refined,Rousing,Sophisticated,Spiritual,Wintry,Wistful,Bright,Earnest
mr president,Electronic,Pop/Rock,Euro-Pop,Club/Dance,House,Euro-Dance,,Celebratory,Energetic,Exuberant,Fun,,,,,,
mr probz,Rap,,Hardcore Rap,Pop-Rap,,,,Aggressive,Brash,Bravado,Confident,Energetic,Gutsy,Resolute,Rousing,Street-Smart,Strong
mumford  sons,Pop/Rock,,Alternative/Indie Rock,British Folk,Indie Folk,,,Earnest,Earthy,Intimate,Organic,Wistful,Amiable/Good-Natured,Bright,Fun,Gentle,Laid-Back/Mellow
mungo jerry,Pop/Rock,Blues,Album Rock,AM Pop,Contemporary Pop/Rock,Soft Rock,Jug Band,Freewheeling,Fun,Light,Lively,Amiable/Good-Natured,Carefree,Earnest,Innocent,Poignant,Rambunctious
murray head,Pop/Rock,Stage & Screen,New Wave,Prog-Rock,Punk/New Wave,Singer/Songwriter,AM Pop,Calm/Peaceful,Delicate,Dramatic,Gentle,Meandering,Soothing,Sophisticated,Detached,Literate,Playful
murray head  the trindad singers,Pop/Rock,Stage & Screen,New Wave,Prog-Rock,Punk/New Wave,Singer/Songwriter,AM Pop,Calm/Peaceful,Delicate,Dramatic,Gentle,Meandering,Soothing,Sophisticated,Detached,Literate,Playful
musical youth,Reggae,Pop/Rock,New Wave,Punk/New Wave,Reggae-Pop,Ska,,Amiable/Good-Natured,Cheerful,Fun,Summery,,,,,,
musiq soulchild,R&B,,Contemporary R&B,Adult Contemporary R&B,Neo-Soul,,,Earnest,Intimate,Stylish,Celebratory,Confident,Laid-Back/Mellow,Romantic,Sensual,Sexual,Gentle
my chemical romance,Pop/Rock,,Alternative/Indie Rock,Punk Revival,Post-Hardcore,Punk-Pop,,Energetic,Intense,Rousing,Aggressive,Cathartic,Fiery,Gritty,Reflective,Tense/Anxious,Dramatic
mystikal,Rap,,Dirty South,Southern Rap,Hardcore Rap,Gangsta Rap,,Aggressive,Manic,Reckless,Rowdy,Tough,Boisterous,Brash,Confident,Street-Smart,Confrontational
n ii u,Rap,,Gangsta Rap,Hardcore Rap,,,,,,,,,,,,,
n sync,Electronic,,Detroit Techno,Techno,Tech-House,Hardcore Techno,House,Celebratory,Detached,Hypnotic,Nocturnal,Sexual,Sexy,Stylish,Energetic,,
n sync and gloria estefan,Electronic,,Detroit Techno,Techno,Tech-House,Hardcore Techno,House,Celebratory,Detached,Hypnotic,Nocturnal,Sexual,Sexy,Stylish,Energetic,,
n2deep,Rap,Pop/Rock,Dance-Pop,Party Rap,West Coast Rap,Gangsta Rap,Latin Rap,,,,,,,,,,
naked eyes,Pop/Rock,,Contemporary Pop/Rock,New Wave,Punk/New Wave,Synth Pop,Alternative/Indie Rock,Energetic,Refined,Rollicking,Sophisticated,Ambitious,Dramatic,Lively,Playful,Relaxed,Smooth
nancy sinatra,Pop/Rock,Country,AM Pop,Sunshine Pop,Psychedelic Pop,Baroque Pop,Film Score,Confident,Stylish,Sugary,Boisterous,Energetic,Fun,Playful,Aggressive,Campy,Irreverent
nas,Rap,,East Coast Rap,Hardcore Rap,Political Rap,,,Bitter,Brash,Brooding,Confident,Confrontational,Fierce,Fiery,Gutsy,Rebellious,Bleak
nas and bravehearts,Comedy/Spoken,,Spoken Word,,,,,,,,,,,,,,
natalie,R&B,,Adult Contemporary,Quiet Storm,Soul,Contemporary Jazz,Vocal Jazz,Elegant,Nostalgic,Refined,Romantic,Sophisticated,Stylish,Poignant,Sensual,Sentimental,
natalie cole,R&B,,Adult Contemporary,Quiet Storm,Soul,Contemporary Jazz,Vocal Jazz,Elegant,Nostalgic,Refined,Romantic,Sophisticated,Stylish,Poignant,Sensual,Sentimental,
natalie la rose,R&B,,Contemporary R&B,,,,,Dramatic,Intimate,Passionate,Refined,Stylish,Swaggering,Sweet,Yearning,Amiable/Good-Natured,Dreamy
natalie merchant,Pop/Rock,,Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Contemporary Pop/Rock,Gentle,Melancholy,Reflective,Cerebral,Earthy,Poignant,Intimate,Precious,Sad,Bittersweet
natasha bedingfield,Pop/Rock,,Pop,Dance-Pop,Teen Pop,Adult Contemporary,,Amiable/Good-Natured,Cheerful,Theatrical,Confident,Happy,Playful,Sentimental,Stylish,Sweet,Bright
natural selection,Pop/Rock,,Alternative Metal,Heavy Metal,Post-Grunge,Alternative Pop/Rock,Alternative/Indie Rock,Bitter,Bleak,Brooding,Cathartic,Detached,Visceral,Aggressive,Angry,Angst-Ridden,Confrontational
naughty boy,Pop/Rock,R&B,Contemporary Pop/Rock,Pop,Dance-Pop,Contemporary R&B,,Dramatic,Energetic,Flashy,Flowing,Giddy,Lively,Playful,Theatrical,Urgent,Exciting
naughty by nature,Rap,,East Coast Rap,Golden Age,Pop-Rap,Hardcore Rap,,Brash,Celebratory,Confident,Rousing,Rowdy,Sexual,Aggressive,Boisterous,Confrontational,Freewheeling
nazareth,Pop/Rock,Stage & Screen,Album Rock,Hard Rock,Contemporary Pop/Rock,,,Celebratory,Earthy,Rousing,Rowdy,Boisterous,Brash,Bravado,Confident,Energetic,Freewheeling
neil  dara sedaka,Pop/Rock,,Brill Building Pop,Early Pop/Rock,AM Pop,Soft Rock,Teen Idols,Cheerful,Gentle,Innocent,Bittersweet,Earnest,Romantic,Sentimental,Sweet,Amiable/Good-Natured,Carefree
neil diamond,Pop/Rock,,Adult Contemporary,AM Pop,Contemporary Pop/Rock,Soft Rock,Singer/Songwriter,Earnest,Rousing,Sentimental,Theatrical,Confident,Energetic,Poignant,Romantic,Sparkling,Sugary
neil diamond  barbra streisand,Easy Listening,,,,,,,,,,,,,,,,
